date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,eth_btc_ratio_raw,eth_btc_ratio,eth_btc_ratio_sell,mayer_multiple_raw,mayer_multiple,mayer_multiple_sell,fear_greed_raw,fear_greed,fear_greed_sell
2016-01-17,2.25873020986829,50,0,,50,0,3.2050811904360472,100,0,-1.694819237651695,100,0,,50,0,,50,0
2016-01-18,2.5298893660424713,50,0,,50,0,3.2050811904360472,100,0,-1.678387814176144,100,0,,50,0,,50,0
2016-01-19,2.206631629335551,50,0,,50,0,3.2050811904360472,100,0,-1.6883504454871516,100,0,,50,0,,50,0
2016-01-20,2.4758740745069514,50,0,,50,0,3.2050811904360472,100,0,-1.693290744349112,100,0,,50,0,,50,0
2016-01-21,2.571952500858566,50,0,,50,0,3.2050811904360472,100,0,-1.6850451165657747,100,0,,50,0,,50,0
2016-01-22,2.5994785747543396,50,0,,50,0,3.2050811904360472,100,0,-1.6706836755632468,100,0,,50,0,,50,0
2016-01-23,3.8751958166057583,0,100,,50,0,3.2050811904360472,100,0,-1.6182894946246154,100,0,,50,0,,50,0
2016-01-24,3.9559466912980423,0,100,,50,0,3.2050811904360472,100,0,-1.6182682612909969,100,0,,50,0,,50,0
2016-01-25,4.884122786409967,0,100,,50,0,3.2050811904360472,100,0,-1.5643200655571274,100,0,,50,0,,50,0
2016-01-26,4.380766184493559,0,100,,50,0,3.2050811904360472,100,0,-1.5805476994557754,100,0,,50,0,,50,0
2016-01-27,4.390222869774596,0,100,,50,0,3.2050811904360472,100,0,-1.5806005143375028,100,0,,50,0,,50,0
2016-01-28,4.653900991694092,0,100,,50,0,3.2050811904360472,100,0,-1.5532820209236857,100,0,,50,0,,50,0
2016-01-29,4.452175245930917,0,100,,50,0,3.2050811904360472,100,0,-1.5600274549739837,100,0,,50,0,,50,0
2016-01-30,4.215699827051708,0,100,,50,0,3.2050811904360472,100,0,-1.5640788835864863,100,0,,50,0,,50,0
2016-01-31,3.7694778516716307,0,100,,50,0,19.51754008724066,100,0,-1.5790188889036847,100,0,,50,0,,50,0
2016-02-01,2.8395114683838076,50,0,,50,0,19.51754008724066,100,0,-1.5911938593767838,100,0,,50,0,,50,0
2016-02-02,3.361879124196777,50,100,,50,0,19.51754008724066,100,0,-1.560171328052727,100,0,,50,0,,50,0
2016-02-03,3.4670977748279737,50,100,,50,0,19.51754008724066,100,0,-1.5467261999314394,100,0,,50,0,,50,0
2016-02-04,3.467748968410077,50,100,,50,0,19.51754008724066,100,0,-1.5609040061502981,100,0,,50,0,,50,0
2016-02-05,3.1722957452145164,50,100,,50,0,19.51754008724066,100,0,-1.5553940119759266,100,0,,50,0,,50,0
2016-02-06,3.1410043680980815,50,100,,50,0,19.51754008724066,100,0,-1.5496957799983295,100,0,,50,0,,50,0
2016-02-07,3.453980602967787,50,100,,50,0,19.51754008724066,100,0,-1.5101145370501479,100,0,,50,0,,50,0
2016-02-08,3.8566037198787932,0,100,,50,0,19.51754008724066,100,0,-1.4731151781777125,100,0,,50,0,,50,0
2016-02-09,4.843185270253436,0,100,,50,0,19.51754008724066,100,0,-1.394116398773979,100,0,,50,0,,50,0
2016-02-10,4.746648266798036,0,100,,50,0,19.51754008724066,100,0,-1.3458030455221004,100,0,,50,0,,50,0
2016-02-11,6.424696331859426,0,100,,50,0,19.51754008724066,100,0,-1.1738455682166034,100,0,,50,0,,50,0
2016-02-12,5.539572288558691,0,100,,50,0,19.51754008724066,100,0,-1.2271254898800186,100,0,,50,0,,50,0
2016-02-13,5.184415107580513,0,100,,50,0,19.51754008724066,100,0,-1.2664120992962977,100,0,,50,0,,50,0
2016-02-14,3.825080776708825,0,100,,50,0,19.51754008724066,100,0,-1.2965357534242474,100,0,,50,0,,50,0
2016-02-15,3.7616653334990144,0,100,,50,0,19.51754008724066,100,0,-1.2874699932573774,100,0,,50,0,,50,0
2016-02-16,2.7728914858288145,50,0,,50,0,19.51754008724066,100,0,-1.3920637550497488,100,0,,50,0,,50,0
2016-02-17,2.2703372520373253,50,0,,50,0,19.51754008724066,100,0,-1.4477565394581628,100,0,,50,0,,50,0
2016-02-18,2.826558843868519,50,0,,50,0,19.51754008724066,100,0,-1.3966348356078913,100,0,,50,0,,50,0
