date,price,market_cap,mvrv,miner_revenue,fear_greed
2011-05-08,3.84866837697253,23624665.965208177,4.92348609,41840.64722115,
2011-05-09,3.80408958211572,23396482.361365415,4.77598264,47940.2301005778,
2011-05-10,5.65166700233781,34811442.90089974,6.2849561,39679.07234296,
2011-05-11,5.43975104383402,33558096.17696426,5.77375573,52790.9038079582,
2011-05-12,6.3348786943308,39133713.13422852,6.23619574,51081.6893380848,
2011-05-13,8.13903486732905,50363126.90380207,6.81610339,68523.877733554,
2011-05-14,7.00724382933957,43444561.37971386,5.71115111,103700.173660928,
2011-05-15,6.92492484453536,43010361.96316689,5.38878812,98033.8275096893,
2011-05-16,7.88514074517826,49071596.39946786,5.64948105,105594.069335048,
2011-05-17,7.25719954061952,45256984.84266235,5.05909092,109803.428737757,
2011-05-18,6.76316336236119,42273490.68697504,4.61026723,119250.451258641,
2011-05-19,6.89014363237873,43126097.9405202,4.62646251,67163.5755188199,
2011-05-20,5.61809621858562,35226025.04397268,3.71328197,83119.2753586832,
2011-05-21,6.08480066744594,38219241.41144663,4.07285788,77625.3547125034,
2011-05-22,6.71195603974284,42243037.66020989,4.35034379,84071.537173874,
2011-05-23,7.06525678375219,44567639.721256174,4.487161,98185.9018975187,
2011-05-24,7.40266058211573,46806652.653661974,4.5999394,112115.022781401,
2011-05-25,8.56928963705436,54314728.42084867,5.19133406,112473.035816606,
2011-05-26,8.78215543424898,55793911.601505555,5.17913836,117828.58719923,
2011-05-27,8.52865846814728,54254634.32690885,4.74938352,77198.2240307668,
2011-05-28,8.34926911981298,53178164.794420056,4.61095078,69835.8869034816,
2011-05-29,8.40095347223846,53582961.35262173,4.59177413,79108.4711399612,
2011-05-30,8.77934246464056,56064002.95715464,4.71031321,66535.1519722418,
2011-05-31,8.72157642197545,55760526.60904199,4.60202531,72236.3175006,
2011-06-01,9.62377723202805,61619120.76499133,4.97744055,89246.1737183708,
2011-06-02,10.7027602279369,68629309.30257209,5.3275221,92093.9722432158,
2011-06-03,14.2646467738165,91613267.2975125,6.42904939,117192.983562508,
2011-06-04,18.3127387258913,117816835.68376668,7.74313927,169044.304502307,
2011-06-05,16.5433423962595,106605298.23606262,6.57534893,187219.159941527,
2011-06-06,18.4020986440678,118797507.92755511,6.0241396,222490.721239791,
2011-06-07,23.2378784628872,150213131.8334933,7.22127316,165592.92694922,
2011-06-08,29.0299213267095,187922292.42602175,7.38787829,205777.867820522,
2011-06-09,28.7905440181181,186692282.39758107,6.61438788,357650.682453242,
2011-06-10,24.0493992285213,156216479.85825014,5.13598194,361833.101785617,
2011-06-11,14.7497466277031,95995038.34225108,3.17745001,427075.10954628,
2011-06-12,18.8501447311514,122901058.44413236,3.60717104,339684.628366656,
2011-06-13,19.5423291145529,127635836.83400014,3.61267024,285678.474122226,
2011-06-14,19.2577355055523,126014917.86155447,3.30858495,293058.096011881,
2011-06-15,19.4641426241964,127637088.27065748,3.13518917,292369.09990551,
2011-06-16,17.9293625423729,117734055.42332496,2.83819584,180547.398198072,
2011-06-17,15.4363689129164,101507246.36163746,2.42625836,184938.877363021,
2011-06-18,16.8754045353594,111136351.47976218,2.62955708,186404.114646615,
2011-06-19,17.5107167913501,115515571.88991056,2.69066084,196695.709960816,
2011-06-20,17.5107167913501,115720447.27636936,2.67081932,216942.316771128,
2011-06-21,17.5107167913501,115941957.84377992,2.63871848,217598.799148292,
2011-06-22,17.5107167913501,116169597.16206747,2.62779902,206500.191799553,
2011-06-23,17.5107167913501,116379725.76356368,2.61500773,183582.256303182,
2011-06-24,17.5107167913501,116568841.50491028,2.59755925,175009.367571956,
2011-06-25,17.5107167913501,116694043.12996842,2.58920413,121589.404206083,
2011-06-26,16.3613420157802,109156329.2288656,2.40438777,131414.94070255,
2011-06-27,16.7522858132671,111906106.67939186,2.41862667,149441.170153358,
2011-06-28,16.9618353071303,113441602.45623428,2.4228443,143475.0933439,
2011-06-29,16.8545683179427,112869144.75780512,2.39153255,150591.057696663,
2011-06-30,16.1852627808299,108541609.09894869,2.27916897,165999.5952429,
2011-07-01,15.4203573991818,103545386.72769219,2.17517451,152400.026298971,
2011-07-02,15.38284406955,103423475.37897693,2.17108212,144573.253433718,
2011-07-03,15.4575505604909,104053274.32089683,2.17640481,134692.570246444,
2011-07-04,13.8527968123904,93368543.01682381,1.95761946,134041.867463939,
2011-07-05,12.9648177147867,87473624.99201757,1.82728432,109061.811354528,
2011-07-06,14.7147835832846,99396155.740402,2.06878863,120837.229002086,
2011-07-07,14.7972891613092,100050390.78730299,2.07598143,107912.403636197,
2011-07-08,14.2990376969608,96799480.40224017,2.0056172,133037.926591171,
2011-07-09,14.3815006697838,97464868.04537664,2.01609779,115601.417842718,
2011-07-10,14.6229375511397,99201277.05382463,2.03850499,104035.656017018,
2011-07-11,14.3101554330801,97191713.52729172,1.99133352,122377.338000314,
2011-07-12,14.0212726215663,95328529.22292317,1.94872351,106436.199728923,
2011-07-13,13.9714545225015,95123250.83128451,1.93841196,140335.081867372,
2011-07-14,13.997974547633,95404595.1868676,1.93955814,101997.370346344,
2011-07-15,13.8063904056108,94210666.07270236,1.91086852,115561.001299042,
2011-07-16,13.7130792992402,93681586.74959344,1.89668424,114152.070856035,
2011-07-17,13.2581353109293,90686308.30094048,1.8320481,119765.702254407,
2011-07-18,13.6305212504383,93349306.17338388,1.94207395,119733.409897846,
2011-07-19,13.8247948386908,94777954.59762248,1.96438973,99109.8462891712,
2011-07-20,13.6783305920514,93875750.54952452,1.96296845,108476.734661838,
2011-07-21,13.6118084418469,93522652.12527928,1.95201716,106678.204461395,
2011-07-22,13.6985473310929,94222033.04310414,1.96311336,105435.76095675,
2011-07-23,13.6817183424898,94206155.59631331,1.95853437,101796.374091959,
2011-07-24,13.992515176505,96462300.6096237,1.99913286,115761.139549567,
2011-07-25,14.0334253787259,96860105.16616963,2.00132141,119825.047006466,
2011-07-26,13.8780323232028,95909693.44364177,1.97632833,129122.843445988,
2011-07-27,13.878224755114,96031763.87670445,1.97282473,124885.480970833,
2011-07-28,13.4915910756867,93460973.3032422,1.91925019,110791.768369257,
2011-07-29,13.5123163901227,93715345.80439219,1.91940166,117279.447081827,
2011-07-30,13.5402806738749,94012199.62541157,1.91948827,107719.38036759,
2011-07-31,13.3729061022794,92967105.79870696,1.8957305,124526.786030673,
2011-08-01,13.0191138468732,90614985.11112323,1.84650394,121855.670427913,
2011-08-02,12.2141564389246,85106409.82081906,1.73338364,108341.119415635,
2011-08-03,9.28635691350088,64778839.828644425,1.33360498,109075.990134714,
2011-08-04,10.7685037481005,75187308.33711475,1.54422773,88437.3495374681,
2011-08-05,9.73015395967271,68005505.44994488,1.40034516,80573.340669365,
2011-08-06,6.964169735827,48716108.274902046,1.01786264,71080.6189234068,
2011-08-07,8.50179329222677,59525730.74017232,1.24329896,81473.2135452585,
2011-08-08,7.77533763793104,54492287.45704055,1.15587536,66178.717104151,
2011-08-09,9.80249948100526,68770905.38588946,1.45369998,72563.6885421252,
2011-08-10,10.0512531274109,70592463.42657597,1.48953532,89502.3788295336,
2011-08-11,9.43841299473992,66352987.09993689,1.40111707,91137.937350672,
2011-08-12,9.45299328521333,66517405.10586635,1.40327416,95816.9246061465,
2011-08-13,10.0040247445938,70459846.77984548,1.48374896,64613.4425708767,
2011-08-14,10.8068207665108,76185384.59064119,1.60021658,75591.5817313624,
2011-08-15,11.1306965499708,78540420.88459688,1.64552851,75922.588120944,
2011-08-16,10.9919655669199,77642298.27029729,1.62211392,92515.5078635161,
2011-08-17,10.9639640561075,77519063.15445991,1.61521112,80734.2991225104,
2011-08-18,10.8584714558738,76851374.54393478,1.59806892,88913.1153224812,
2011-08-19,11.6704730432496,82674797.96897964,1.71440506,80237.62784115,
2011-08-20,11.4597317393337,81268979.46123536,1.68142171,127630.546794655,
2011-08-21,11.3544813407364,80613411.0612813,1.66508331,104645.527363047,
2011-08-22,10.9208958246639,77627365.54687563,1.60062575,99010.8876249051,
2011-08-23,10.9172450543542,77686023.97310649,1.60020118,135219.99453169,
2011-08-24,10.870444289889,77425826.39045885,1.5924043,79247.8549890806,
